fid,production
1107,17492.0294644009
1108,17473.8275606971
1109,19021.9072505859
1110,18804.1747014116
1111,19458.2950548355
1112,17794.6874279675
1113,9725.81155924532
1114,18704.1321520338
1115,9449.73869213445
1116,11215.9373239907
1117,8747.14076866188
1118,10117.5235001017
1119,11451.4409677193
1120,12130.2168447531
1121,19393.7043537679
1122,19031.287623275
1123,8641.01582554121
1124,8283.86706581984
1125,9259.97350189849
1126,14353.6233354591
1127,19000.7093003166
1128,492.059547676794
1129,8751.24534180919
1130,11463.9806236426
1131,17465.1898933614
1132,17047.1884703102
1133,9877.1632738887
1134,11396.5730593091
1135,9554.73139334538
1136,9313.846432184
1137,12669.4189503007
1138,18823.9685695179
1139,10011.6583597367
1140,9959.18635575463
1141,17093.6921342906
1142,16813.95710602
1143,4828.53263477995
1144,17373.6781053222
1145,7160.8765535679
1146,17150.2626729361
1147,18687.835511172
1148,18525.9319425115
1149,6521.25366037725
1150,19064.5664801136
1151,9172.28042281587
1152,9198.03250947458
1153,18804.1747014173
1154,9022.27328924087
1155,19373.523600012
1156,11397.9525646394
1157,9321.9822530302
1158,19043.192848942
1159,19416.4505018793
1160,17117.9296852567
1161,11691.949645261
1162,11960.0208337814
1163,9456.33454713976
1164,10993.6213691747
1165,10729.9083814433
1166,18962.5256462709
1167,11863.7581065357
1168,12244.0952174498
1169,18924.2967437457
1170,8868.3106404751
1171,10132.152011944
1172,18910.0692307643
1173,18909.3662637617
1174,9806.29527434637
1175,19333.162092512
1176,18869.6630999294
1177,18805.4006385494
1178,9787.04788649328
1179,12136.5997040253
1180,17347.8559708889
1181,18745.9525859508
1182,9671.59964776184
1183,9457.38924581805
1184,9163.86340393547
1185,8182.83735425254
1186,8119.02960578557
1187,18904.480726213
1188,8591.5688275285
1189,11499.8803541928
1190,11452.0140467912
1191,10015.0904313846
1192,18724.9992289903
1193,18878.7316046137
1194,8431.32496410428
1195,17455.625656988
1196,16408.7964516545
1197,8750.4603710243
1198,9387.17628775847
1199,19458.2950548296
1200,10658.3495288625
1201,18883.3501738443
1202,9043.16430631578
1203,16948.522774334
1204,8670.17519656832
1205,14730.3309560238
1206,18944.1127612837
1207,18963.9287788169
1208,9358.16657022503
1209,9649.30953018735
1210,9912.77406422872
1211,18962.5256462656
1212,10148.9318267599
1213,8656.031535875
1214,18930.2722961875
1215,15724.6073679537
1216,9482.94212449733
1217,9849.2964719972
1218,19393.704353762
1219,18950.4753615993
1220,8717.85035808807
1221,9774.19290412794
1222,18150.9770538889
1223,19211.0827791907
1224,9786.63059787586
1225,18546.7553231437
1226,8105.29268595786
1227,19334.3336045368
1228,19272.6198312673
1229,10003.6257707747
1230,16161.8779219862
1231,18900.5702093113
1232,3176.50439567209
1233,17465.1898933614
1234,10136.0593618277
1235,16066.3514952938
1236,11893.0690730535
1237,18384.5652265319
1238,8911.0541674254
1239,10845.8231403404
1240,9772.52980665693
1241,13229.2372776279
1242,11299.487122295
1243,9590.76502907429
1244,9697.58000868919
1245,9547.9968461101
1246,18887.9482503695
1247,9723.82826398753
1248,9978.82024524348
1249,9152.39115372084
1250,9873.1332133747
1251,18646.8724982877
1252,11461.6615532357
1253,11444.3574327274
1254,11197.2638391624
1255,9954.29458424245
1256,8764.21971362467
1257,12154.4307673704
1258,7094.18236744538
1259,19133.293932054
1260,10852.8423086455
1261,12111.4079119845
1262,10093.2911788695
1263,19251.3998469388
1264,11487.5148914463
1265,19163.3748391054
1266,19545.6689914782
1267,19064.5664801079
1268,19003.0678785592
1269,14872.1056975261
1270,17437.4237532737
1271,12155.5938674408
1272,16652.7336069009
1273,7737.18895258977
1274,9666.16489119809
1275,19329.9075472561
1276,19021.9072505859
1277,18289.5341306362
1278,16701.7406221138
1279,19292.800585012
1280,19132.3029503566
1281,8793.20756308746
1282,10123.8999603576
1283,18182.6968762391
1284,8998.23393317321
1285,9860.21428658169
1286,9711.06336369245
1287,19438.0470891171
1288,17063.4485176289
1289,16288.5209464519
1290,8974.81475170842
1291,11909.7686454041
1292,17306.970751607
1293,18982.3195143781
1294,17425.2514826803
1295,9960.99344997077
1296,20393.6070559023
1297,9145.51584063025
1298,14850.5265505072
1299,18982.5683447148
1300,19210.1307365224
1301,11405.1826106682
1302,7357.62680549153
1303,9786.63059787561
1304,19308.8165931116
1305,18075.2459284433
1306,9611.60871862294
1307,11781.7118608819
1308,11653.6191253333
1309,9722.30102475591
1310,19260.924594105
1311,9684.26666789978
1312,8847.53757513853
1313,9347.71260268923
1314,9736.16520310022
1315,14839.8086297101
1316,16684.4453363093
1317,19436.6759711516
1318,17029.2105608623
1319,17280.3507384537
1320,17052.0348636208
1321,12595.4637023776
1322,9585.91548698721
1323,19730.4866572292
1324,19567.7388525441
1325,19012.839809037
1326,7768.82217912712
1327,11496.6953136382
1328,9590.17462351636
1329,8451.8494520706
1330,17113.8955528562
1331,8750.46037102693
1332,8457.48104623867
1333,17283.4501442057
1334,8001.06384987422
1335,18987.963293044
1336,18935.0843331812
1337,9766.80799152068
1338,10465.7125162631
1339,355.818707944505
1340,8666.41677748957
1341,18026.4115278306
1342,8565.39410421054
1343,19276.063363375
1344,9719.12177890588
1345,9920.4906266223
1346,18962.0688108657
1347,11770.7589922578
1348,17247.5172245759
1349,9742.93231928249
1350,20483.863535367
1351,20462.5483808032
1352,17333.2582252685
1353,8783.1038961012
1354,11467.8514163187
1355,8665.33568057564
1356,11272.9036228673
1357,11272.9036228633
1358,8522.22554767679
1359,9890.21881036024
1360,17235.967524687
1361,8993.70148248887
1362,12055.3119450842
1363,19039.8370966612
1364,8153.78986312922
1365,18223.8258584365
1366,16538.6480716144
1367,19874.7214145406
1368,19267.0727549072
1369,14790.4850824338
1370,12246.4638258159
1371,19484.6523348971
1372,19440.5847495885
1373,19002.2116121236
1374,19316.5592948048
